,ID,Name,Market,Category,Capital,PER,EPS,ROE,PBR,BPS,Group_PER,Revenue,Operating_Income,Net_Income,Dividend,Debt,Debt_continuous,Retention,Retention_Continuous,Open,High,Low,Close,DaytoDay,Volume,Highest_Price,Highest_Date,update_date,Group
96,1940,KISCO홀딩스,KOSPI,철강,2766,2.36,1690,12.69,0.21,68463,4.1,4600,533,492,2.75,18.82,1,4103.02,5,16900,17200,16850,17100,50,12553,23700,2021-09-08,2022-05-13 6:44,0
97,2020,코오롱,KOSPI,복합기업,3308,3.26,-1213,17.35,0.52,64159,7.7,14085,679,-133,1.66,277.24,1,1237.55,1,25950,26300,25800,26200,400,33236,46650,2021-09-10,2022-05-13 6:44,0
98,2025,코오롱우,KOSPI,복합기업,185,3.26,-1213,17.35,0.52,64159,7.7,14085,679,-133,2.88,277.24,1,1237.55,1,17400,17400,17000,17150,150,1683,27950,2021-04-12,2022-05-13 6:44,0
99,2030,아세아,KOSPI,포장재,3155,2.67,14306,12.23,0.26,491013,13.99,5508,578,551,2.34,81.52,4,12739.5,5,145000,146500,142500,144000,1500,2830,167500,2021-09-06,2022-05-13 6:44,0
100,2100,경농,KOSPI,화학,2489,15.58,-305,7.85,1.03,11888,8.16,352,-101,-58,2.86,64.18,3,1936.34,1,12600,12800,12500,12750,100,51536,18800,2019-06-20,2022-05-13 6:44,0
101,2140,고려산업,KOSPI,식품,1524,16.07,-58,4.32,0.67,4323,11.83,572,-11,-14,1.37,123.32,2,328.62,1,6260,6370,5920,6110,280,2319958,11850,2022-04-27,2022-05-13 6:44,0
102,2150,도화엔지니어링,KOSPI,건설,3861,17.18,265,5.75,0.96,7976,7.5,1805,110,90,3.66,87.4,1,1527.74,4,11250,11600,11050,11450,50,2532066,12300,2022-05-11,2022-05-13 6:44,0
103,2170,삼양통상,KOSPI,"섬유,의류,신발,호화품",1680,5.25,690,8.48,0.41,142633,5.56,491,68,21,2.16,12.94,1,2655.08,5,55700,56300,55200,56000,300,1770,88500,2021-05-11,2022-05-13 6:44,0
104,2200,한국수출포장,KOSPI,포장재,1010,6.43,255,6.15,0.37,68809,13.99,876,10,10,2.75,26.01,1,1237.11,5,25400,25500,25150,25250,250,2965,34900,2021-07-09,2022-05-13 6:44,0
105,2220,한일철강,KOSPI,철강,1450,2.78,272,15.87,0.37,7201,4.1,690,73,73,1.87,90.56,2,1236.0,4,5390,5510,5260,5430,30,277505,6730,2022-05-04,2022-05-13 6:44,0
